1;Temps;Deplacements;Forces
;(s);(mm);(kN)
"";"0.0000";"0.0000";"-0.0001"
"";"0.1000";"0.0057";"0.0001"
"";"0.2000";"0.0196";"-0.0001"
"";"0.3000";"0.0299";"0.0002"
"";"0.4000";"0.0401";"-0.0001"
"";"0.5000";"0.0503";"0.0002"
"";"0.6000";"0.0601";"0.0000"
"";"0.7000";"0.0701";"0.0000"
"";"0.8000";"0.0803";"0.0002"
"";"0.9000";"0.0904";"0.0002"
"";"1.0000";"0.1001";"0.0004"
"";"1.1000";"0.1101";"0.0005"
"";"1.2000";"0.1202";"0.0006"
"";"1.3000";"0.1301";"0.0009"
"";"1.4000";"0.1403";"0.0009"
"";"1.5000";"0.1504";"0.0009"
"";"1.6000";"0.1601";"0.0015"
"";"1.7000";"0.1701";"0.0015"
"";"1.8000";"0.1802";"0.0017"
"";"1.9000";"0.1901";"0.0020"
"";"2.0000";"0.2001";"0.0024"
"";"2.1000";"0.2104";"0.0027"
"";"2.2000";"0.2203";"0.0032"
"";"2.3000";"0.2301";"0.0035"
"";"2.4000";"0.2402";"0.0041"
"";"2.5000";"0.2500";"0.0045"
"";"2.6000";"0.2602";"0.0051"
"";"2.7000";"0.2704";"0.0063"
"";"2.8000";"0.2802";"0.0074"
"";"2.9000";"0.2901";"0.0082"
"";"3.0000";"0.3003";"0.0094"
"";"3.1000";"0.3101";"0.0107"
"";"3.2000";"0.3201";"0.0122"
"";"3.3000";"0.3303";"0.0139"
"";"3.4000";"0.3403";"0.0156"
"";"3.5000";"0.3501";"0.0177"
"";"3.6000";"0.3602";"0.0195"
"";"3.7000";"0.3701";"0.0214"
"";"3.8000";"0.3801";"0.0237"
"";"3.9000";"0.3902";"0.0261"
"";"4.0000";"0.4004";"0.0282"
"";"4.1000";"0.4102";"0.0305"
"";"4.2000";"0.4201";"0.0326"
"";"4.3000";"0.4302";"0.0358"
"";"4.4000";"0.4401";"0.0369"
"";"4.5000";"0.4502";"0.0376"
"";"4.6000";"0.4604";"0.0378"
"";"4.7000";"0.4702";"0.0376"
"";"4.8000";"0.4801";"0.0376"
"";"4.9000";"0.4903";"0.0375"
"";"5.0000";"0.5001";"0.0379"
"";"5.1000";"0.5101";"0.0399"
"";"5.2000";"0.5203";"0.0437"
"";"5.3000";"0.5303";"0.0481"
"";"5.4000";"0.5401";"0.0527"
"";"5.5000";"0.5502";"0.0579"
"";"5.6000";"0.5601";"0.0637"
"";"5.7000";"0.5701";"0.0704"
"";"5.8000";"0.5803";"0.0784"
"";"5.9000";"0.5904";"0.0871"
"";"6.0000";"0.6001";"0.0963"
