Test,split,regu,tolConv,convOption,nL,meshTest,optimMesh,threshold,inc0,inc1,ftol,detectL0,f_exp [kN],f [kN],err,Gc [mJ/mm2],l0 [mm],evals
Test_00,He,AT1,0.01,2,100,False,True,0.2,0.00024,2e-05,1e-07,False,33.1387,33.14061487333279,5.778359841474548e-05,0.0707646549398701,0.45,"[3.98594343e-03 3.98598033e-03 7.71917071e-01 7.71916751e-01
 1.64075120e-03 1.64072889e-03 1.02164615e-07 1.01972882e-07
 3.30519497e-09 3.33894425e-09]"
Test_01,He,AT1,0.01,2,100,False,True,0.2,0.00024,2e-05,1e-07,False,39.5827,39.582711408810525,2.8822719324564576e-07,0.0962911581929111,0.45,"[7.78773486e-03 7.78769152e-03 1.62222466e+00 1.62222398e+00
 4.27015696e-01 4.27016040e-01 9.33709429e-02 9.33711062e-02
 1.44897292e-02 1.44897923e-02 4.76665776e-04 4.76677213e-04
 2.63591973e-09 2.60898282e-09 8.07490940e-09 8.12127492e-09
 4.21199473e-09 4.24580323e-09 5.23015923e-16 8.30749082e-14]"
Test_02,He,AT1,0.01,2,100,False,True,0.2,0.00024,2e-05,1e-07,False,37.6762,37.676190027983786,2.646768043338404e-07,0.1055100251859492,0.45,"[1.59877801e-02 1.59876903e-02 1.38928841e+00 1.38928764e+00
 4.19077773e-01 4.19078239e-01 1.01523268e-01 1.01523378e-01
 1.00160039e-02 1.00160364e-02 1.96433338e-03 1.96434882e-03
 8.75902591e-05 8.75881452e-05 6.71574765e-06 6.71486363e-06
 4.44087186e-06 4.44149893e-06 4.20549267e-08 2.80867315e-10
 4.80607955e-06 4.80682859e-06 1.82842764e-06 1.82903046e-06
 1.52182618e-07 1.52307123e-07 1.84400441e-09 1.85822061e-09
 7.42490771e-06 7.42688274e-06 1.83833616e-09 1.85255966e-09
 1.83268298e-09 1.84688648e-09 3.08941350e-09 3.07081007e-09
 1.88462739e-13 7.00603326e-14]"
Test_03,He,AT1,0.01,2,100,False,True,0.2,0.00024,2e-05,1e-07,False,37.4157,37.42668438324832,0.0002935768473749,0.0856952735114088,0.45,"[9.63641542e-04 9.63622958e-04 2.00554747e+00 2.00554662e+00
 4.54263418e-01 4.54263819e-01 8.86809862e-02 8.86811642e-02
 1.54230926e-02 1.54231668e-02 2.07887732e-03 2.07890470e-03
 6.37648769e-05 6.37696101e-05 4.96126381e-06 3.80472677e-06
 6.12192427e-05 6.12238388e-05 1.27241565e-07 1.27303146e-07
 8.61398075e-08 8.61873653e-08]"
Test_04,He,AT1,0.01,2,100,False,True,0.2,0.00024,2e-05,1e-07,False,38.5806,38.573479611066446,0.0001845587920755,0.084197277812819,0.45,"[6.35991368e-04 6.35979817e-04 2.04903833e+00 2.04903768e+00
 4.08992467e-01 4.08992772e-01 6.73128597e-02 6.73129850e-02
 9.66578273e-03 9.66582686e-03 1.03072740e-03 1.03074202e-03
 1.22296977e-05 1.22312775e-05 4.62931956e-08 4.63888048e-08
 3.41478165e-08 3.40619477e-08]"
Test_05,He,AT1,0.01,2,100,False,True,0.2,0.00024,2e-05,1e-07,False,32.7742,32.77421290696051,3.938146623440968e-07,0.0675376943472803,0.45,"[7.76478253e-03 7.76483561e-03 7.66991860e-01 7.66991536e-01
 1.36618404e-03 1.36616197e-03 1.80858863e-06 1.80940466e-06
 4.65759737e-10 4.52884246e-10 3.94233742e-09 3.97986157e-09
 9.19690531e-15 1.55089990e-13]"
Test_06,He,AT1,0.01,2,100,False,True,0.2,0.00024,2e-05,1e-07,False,38.2652,38.26485278169134,9.073996964904606e-06,0.0847524569213395,0.45,"[8.03767711e-04 8.03754252e-04 2.02759732e+00 2.02759664e+00
 4.18140654e-01 4.18140974e-01 7.19165638e-02 7.19166983e-02
 1.07885607e-02 1.07886102e-02 1.19463415e-03 1.19465101e-03
 1.31368611e-05 1.31385886e-05 1.00257814e-08 9.97806906e-09
 8.66372761e-11 8.23374210e-11]"
Test_07,He,AT1,0.01,2,100,False,True,0.2,0.00024,2e-05,1e-07,False,31.8096,31.81464269098946,0.0001585273310402,0.070777391497132,0.45,"[3.98341274e-03 3.98345289e-03 7.72799001e-01 7.72798814e-01
 3.42900946e-06 3.43026201e-06 8.68827010e-08 8.66885387e-08
 2.50282875e-08 2.51309143e-08]"
Test_08,He,AT1,0.01,2,100,False,True,0.2,0.00024,2e-05,1e-07,False,31.7716,31.77231263741578,2.243001346424632e-05,0.0585318541827,0.45,"[2.83426038e-02 2.83427012e-02 7.50813551e-01 7.50813248e-01
 8.40726223e-06 8.40882273e-06 2.45378115e-09 2.48170564e-09
 3.18602424e-08 3.17573145e-08 4.90805362e-10 5.03105504e-10]"
Test_09,He,AT1,0.01,2,100,False,True,0.2,0.00024,2e-05,1e-07,False,39.4125,39.41475077032273,5.710803229277553e-05,0.1088472312394394,0.45,"[2.08316249e-02 2.08315701e-02 1.29788087e+00 1.29788023e+00
 3.51037619e-01 3.51037947e-01 7.37551277e-02 7.37552790e-02
 8.05740573e-03 8.05745645e-03 2.19171324e-04 2.19163062e-04
 3.75701853e-05 3.75735216e-05 1.56587194e-08 1.57229463e-08
 3.23055773e-09 3.26132735e-09]"
Test_10,He,AT1,0.01,2,100,False,True,0.2,0.00024,2e-05,1e-07,False,37.584,37.583307695269646,1.842019823196577e-05,0.0880422674231647,0.45,"[2.17766492e-03 2.17764332e-03 1.89700529e+00 1.89700462e+00
 4.27575060e-01 4.27575383e-01 8.12276822e-02 8.12278267e-02
 1.27992680e-02 1.27993229e-02 1.12264149e-03 1.12265729e-03
 2.19838757e-07 2.20054556e-07 4.35865252e-10 4.26069677e-10
 1.43799238e-08 1.43265384e-08 3.48003938e-10 3.39304292e-10]"
Test_11,He,AT1,0.01,2,100,False,True,0.2,0.00024,2e-05,1e-07,False,37.1422,37.14181778429326,1.0290604938405332e-05,0.0915650550515344,0.45,"[4.18300322e-03 4.18299155e-03 1.79403826e+00 1.79403733e+00
 3.65967554e-01 3.65967973e-01 5.93524399e-02 5.93526092e-02
 7.29282044e-03 7.29287837e-03 2.64380519e-04 2.64382114e-04
 1.03573886e-04 1.03580850e-04 8.19938350e-04 8.19918818e-04
 1.47047793e-04 1.47046627e-04 1.49613182e-10 1.44137047e-10
 2.13848199e-09 2.14367881e-09 1.07940870e-05 1.07963438e-05
 1.49601577e-10 1.44125660e-10 1.05532435e-05 1.05554673e-05
 1.49596823e-10 1.44120997e-10 1.04115828e-05 1.04138144e-05
 1.49594736e-10 1.44118946e-10 2.28026325e-11 3.86504197e-09
 1.49412790e-10 1.43941905e-10 1.07733775e-10 1.05896550e-10]"
Test_12,He,AT1,0.01,2,100,False,True,0.2,0.00024,2e-05,1e-07,False,30.2749,30.271569838695,0.0001099974336828,0.0699918011175525,0.45,"[5.07977274e-03 5.07982418e-03 7.71213591e-01 7.71237999e-01
 5.01139612e-03 5.01144863e-03 5.70286637e-02 5.70286076e-02
 5.46114109e-04 5.46097874e-04 5.47184684e-06 5.47054577e-06
 1.99652213e-07 1.99564051e-07 3.57176197e-08 3.56758871e-08
 5.57012050e-06 5.57178245e-06 3.47765029e-08 3.47350043e-08
 3.47660256e-08 3.47245080e-08 5.50238960e-06 5.50400539e-06
 3.47168415e-08 3.46776914e-08 3.46325457e-08 3.45908143e-08
 1.21310264e-08 1.20994354e-08]"
Test_13,He,AT1,0.01,2,100,False,True,0.2,0.00024,2e-05,1e-07,False,32.1507,32.14556435195756,0.000159736741111,0.0564889453515038,0.45,"[3.57075317e-02 3.57076405e-02 7.46960918e-01 7.46960634e-01
 3.58531738e-04 3.58542009e-04 9.94468987e-08 9.92833543e-08
 2.55993301e-08 2.55158284e-08]"
Test_14,He,AT1,0.01,2,100,False,True,0.2,0.00024,2e-05,1e-07,False,31.1652,31.165206700289065,2.1499265408638205e-07,0.0799087776777345,0.45,"[2.61748429e-07 2.62028582e-07 3.71822783e-02 3.71821842e-02
 2.33723595e-03 2.33720932e-03 1.95267262e-04 1.95259558e-04
 1.88572901e-05 1.88549547e-05 2.21777001e-06 2.21696989e-06
 1.42065309e-07 1.41859022e-07 1.19572918e-10 1.25537167e-10
 1.51943749e-09 1.49891516e-09 2.79291672e-15 4.62218425e-14]"
Test_15,He,AT1,0.01,2,100,False,True,0.2,0.00024,2e-05,1e-07,False,31.8101,31.814092284344017,0.0001255036716017,0.0637291557836352,0.45,"[1.43628073e-02 1.43628851e-02 7.60926129e-01 7.60925723e-01
 3.03831147e-03 3.03827769e-03 1.34768931e-06 1.34840726e-06
 2.84527188e-08 2.83462043e-08 3.55159639e-08 3.56393909e-08
 1.56715202e-08 1.57511716e-08]"
Test_16,He,AT1,0.01,2,100,False,True,0.2,0.00024,2e-05,1e-07,False,32.002900000000004,32.00197816983668,2.8804582188525e-05,0.0632557742880949,0.45,"[1.54113095e-02 1.54113831e-02 7.60079964e-01 7.60079585e-01
 1.71331141e-03 1.71328698e-03 5.94096430e-06 5.94239484e-06
 1.99882449e-09 1.97150282e-09 1.11038769e-08 1.10399095e-08
 8.47007519e-10 8.29703955e-10]"
Test_17,He,AT1,0.01,2,100,False,True,0.2,0.00024,2e-05,1e-07,False,38.286,38.28600212889455,5.5605039712267295e-08,0.0641620385322123,0.45,"[1.34750595e-02 1.34750969e-02 7.61117075e-01 7.61116854e-01
 1.45615860e-03 1.45617053e-03 1.06753068e-07 1.06655989e-07
 5.91514694e-09 5.89222675e-09 1.37431502e-08 1.37787642e-08
 1.01332903e-14 3.09192028e-15]"
